Store Name,Record ID,Likelyname,retailername,group
BROTHERS CNVT  STORE KI,659499,BROTHERS CNVT STORE KI,BROTHERS CNVT STORE KI,15
BYRDS THRIFT STORE,367907,BYRDS THRIFT STORE,BYRDS THRIFT STORE,15
C & K GROCERIES,539645,C K GROCERIES,C K GROCERIES,15
C TOWN MARKET,464355,C TOWN MARKET,C TOWN MARKET,15
C TOWN MART,320348,C TOWN MART,C TOWN MART,15
C-MART #5,406998,CMART,CMART,15
C-MART #7,537112,CMART,CMART,15
C-TOWN MARKET,471278,CTOWN MARKET,CTOWN MARKET,15
CAROL'S BREAD AND SNACKS,630986,CAROLS BREAD AND SNACKS,CAROLS BREAD AND SNACKS,15
CAROLINA EAST DISTRIBUTORS,498832,CAROLINA EAST DISTRIBUTORS,CAROLINA EAST DISTRIBUTORS,15
COLITA'S PRIDE MARKET,476838,COLITAS PRIDE MARKET,COLITAS PRIDE MARKET,15
CORNER STORE,583839,CORNER STORE,CORNER STORE,15
CRABPOINT FOOD CTR GROCERY FAIR,415673,CRABPOINT FOOD CTR GROCERY FAIR,CRABPOINT FOOD CTR GROCERY FAIR,15
CREEKSIDE FISH & PRODUCE,288574,CREEKSIDE FISH PRODUCE,CREEKSIDE FISH PRODUCE,15
D & L COUNTRY STORE,476286,D L COUNTRY STORE,D L COUNTRY STORE,15
DAN'S GROCERY,637987,DANS GROCERY,DANS GROCERY,15
DAWSON'S MIN MART,330387,DAWSONS MIN MART,DAWSONS MIN MART,15
DAWSON'S MINI MART,257841,DAWSONS MINI MART,DAWSONS MINI MART,15
DEEP RUN FISH & PRODUCE MARKET,570502,DEEP RUN FISH PRODUCE MARKET,DEEP RUN FISH PRODUCE MARKET,15
DOWN EAST MEAT COMPANY,729694,DOWN EAST MEAT COMPANY,DOWN EAST MEAT COMPANY,15
E & B EXPRESSWAY,272048,E B EXPRESSWAY,E B EXPRESSWAY,15
EUBANKS GROCERY,570496,EUBANKS GROCERY,EUBANKS GROCERY,15
EUBANKS INS SUPERMARKET,352765,EUBANKS INS SUPERMARKET,EUBANKS INS SUPERMARKET,15
EVELYN'S SEAFOOD,392359,EVELYNS SEAFOOD,EVELYNS SEAFOOD,15
EVELYNS SEAFOOD MARKET,529472,EVELYNS SEAFOOD MARKET,EVELYNS SEAFOOD MARKET,15
EXPRESS MART,276935,EXPRESS MART,EXPRESS MART,15
EXPRESS MART,667644,EXPRESS MART,EXPRESS MART,15
EXPRESS MART,514946,EXPRESS MART,EXPRESS MART,15
FALLING CREEK SERVICE CENTER,558713,FALLING CREEK SERVICE CENTER,FALLING CREEK SERVICE CENTER,15
FAMILY IGA,528347,FAMILY IGA,FAMILY IGA,15
FAST FARE NC-543 543,411445,FAST FARE NC,FAST FARE NC,15
FAST FARE NC-544 544,643015,FAST FARE NC,FAST FARE NC,15
